1,Architecture,2,1,NULL,NULL
362,Medical Documentation & Secretarial Services,1,9,NULL,NULL
363,Medical Imaging Technology,1,9,NULL,NULL
364,Medical Imaging Technology,1,9,NULL,NULL
365,Medical Laboratory Technician,1,9,NULL,NULL
366,Midwifery Technician,1,9,NULL,NULL
367,Mouth And Dental Support Personel,1,9,NULL,NULL
368,Mouth And Dental Support Personel,1,9,NULL,NULL
369,Occupational Health And Safety,1,9,NULL,NULL
370,Operating Room Practice,1,9,NULL,NULL
371,Operating Room Practice,1,9,NULL,NULL
372,Opticianry,1,9,NULL,NULL
373,Orthopedic Prothesis Orthosis Technician,1,9,NULL,NULL
374,Pathology Laboratory Technician,1,9,NULL,NULL
375,Pharmaceutical Services,1,9,NULL,NULL
376,Perfusion Techniques,1,9,NULL,NULL
377,Photography And Camraman,1,9,NULL,NULL
378,Physiotherapy Technician,1,9,NULL,NULL
379,Physiotherapy Technician,1,9,NULL,NULL
380,Radio Television Technology,1,9,NULL,NULL
381,Radiotherapy Technician,1,9,NULL,NULL
382,Tourism And Hotel Management,1,9,NULL,NULL
383,Toursim And Hotel Management,1,9,NULL,NULL
384,Visual Communication,1,9,NULL,NULL
385,Computer Technology And Programming (3 Years),1,9,NULL,NULL
386,Electrical And Electronics Technologies (3 Years),1,9,NULL,NULL
387,Construction And Technical Drawing Technologies (3 Years),1,9,NULL,NULL
388,Adult Education teaching,2,36,NULL,NULL
389,Art Teaching,2,36,NULL,NULL
390,Classroom Teaching,2,36,NULL,NULL
391,Computer Education and Instructional Technology,2,36,NULL,NULL
392,English Language Teaching,2,36,NULL,NULL
393,Geography Teaching,2,36,NULL,NULL
394,Hearing Impaired Education Teaching,2,36,NULL,NULL
395,Hairdressing and Beauty Education,2,36,NULL,NULL
396,History Teaching,2,36,NULL,NULL
397,Mathematics Teaching for Elementry schools,2,36,NULL,NULL
398,Mathematics Teachings,2,36,NULL,NULL
399,Music teaching,2,36,NULL,NULL
400,Philosophy Teaching,2,36,NULL,NULL
401,Pre-School Teaching,2,36,NULL,NULL
402,Psychological Counseling And Guidance,2,36,NULL,NULL
403,Psychological Counselling and Guidance,2,36,NULL,NULL
404,Science Teaching,2,36,NULL,NULL
405,Special Education,2,36,NULL,NULL
406,Social Science Teaching,2,36,NULL,NULL
407,Teaching Program For Mentally Disadvantage,2,36,NULL,NULL
408,Technology Desidn Teaching,2,36,NULL,NULL
409,Turkish Language Teaching,2,36,NULL,NULL
410,Architecture,2,23,NULL,NULL
411,Interior Architecture,2,23,NULL,NULL
412,Landscape Architecture,2,23,NULL,NULL
413,English Language and Literature,2,20,NULL,NULL
414,Geography,2,20,NULL,NULL
415,History,2,20,NULL,NULL
416,Mathematics,2,20,NULL,NULL
417,Molecular Biology & Genetics,2,20,NULL,NULL
418,Psychology,2,20,NULL,NULL
419,Translation and Interpretation,2,20,NULL,NULL
420,Turkish Language and Literature,2,20,NULL,NULL
421,Civil Engineering,2,37,NULL,NULL
422,Environmental Engineering,2,37,NULL,NULL
423,Cartoons & Animation,2,7,NULL,NULL
424,Film making & Broadcasting,2,7,NULL,NULL
425,Journalism,2,7,NULL,NULL
426,Public Relations and Advertising,2,7,NULL,NULL
427,Radio-TV and Film Studies,2,7,NULL,NULL
428,Visual Communication Design,2,7,NULL,NULL
429,Dentistry,2,25,NULL,NULL
430,Banking And Finance,2,13,NULL,NULL
431,Banking And Accounting,2,13,NULL,NULL
432,Business Administration ,2,13,NULL,NULL
433,Computer Information Systems,2,13,NULL,NULL
434,Economics,2,13,NULL,NULL
435,European Union Relations,2,13,NULL,NULL
436,Human Resources Management ,2,13,NULL,NULL
437,Insurance And Actuarial Science,2,13,NULL,NULL
438,International Relations,2,13,NULL,NULL
439,International Business Administration ,2,13,NULL,NULL
440,Knowledge Management,2,13,NULL,NULL
441,Marketing ,2,13,NULL,NULL
442,Management Information Systems,2,13,NULL,NULL
443,Political Sciences,2,13,NULL,NULL
444,Public Administration,2,13,NULL,NULL
445,Automotive Engineering,2,14,NULL,NULL
446,Artificial Intelligence Engineering,2,14,NULL,NULL
447,Bio-Engineering,2,14,NULL,NULL
448,Biomedical Engineering,2,14,NULL,NULL
449,Computer Engineering,2,14,NULL,NULL
450,Electrical And Electronic Engineering,2,14,NULL,NULL
451,Food Engineering,2,14,NULL,NULL
452,Industrial Engineering,2,14,NULL,NULL
453,Information Systems Engineering,2,14,NULL,NULL
454,Material Sciences and nanotechnology Engineering,2,14,NULL,NULL
455,Mechanical Engineering,2,14,NULL,NULL
456,Petroleum and Natural Gas Engineering,2,14,NULL,NULL
457,Software Engineering,2,14,NULL,NULL
458,Graphic Design,2,39,NULL,NULL
459,Plastic Arts,2,39,NULL,NULL
460,Audiology,2,17,NULL,NULL
461,Child Development,2,17,NULL,NULL
462,Emergency And Disaster Management ,2,17,NULL,NULL
463,Gerontology,2,17,NULL,NULL
464,Health Management,2,17,NULL,NULL
465,Nutrition & Dietetics,2,17,NULL,NULL
466,Midwifery*,2,17,NULL,NULL
467,Physiotherapy and Rehabilitation,2,17,NULL,NULL
468,Speech And Language Therapy,2,17,NULL,NULL
469,Social Work,2,17,NULL,NULL
470,Occupational Therapy,2,17,NULL,NULL
471,Occupational Health And Safety,2,17,NULL,NULL
472,International Law,2,4,NULL,NULL
473,Law,2,4,NULL,NULL
474,Medicine,2,24,NULL,NULL
475,Nursing,2,40,NULL,NULL
476,Acting,2,41,NULL,NULL
477,Drama Writing,2,41,NULL,NULL
478,theology Studies,2,42,NULL,NULL
479,Pharmacy,2,18,NULL,NULL
480,Veterinary Medicine,2,43,NULL,NULL
481,Justice,2,44,NULL,NULL
482,Gastronomy,2,45,NULL,NULL
483,Tourism And Hotel Management,2,45,NULL,NULL
484,Physical Education And Sports Teaching,2,46,NULL,NULL
485,Recreation,2,46,NULL,NULL
486,Sports Management,2,46,NULL,NULL
487,Sports Trainer Education,2,46,NULL,NULL
,Arts And Crafts Teaching,3,15,NULL,NULL
,Computer Education and Institutional Technology,3,15,NULL,NULL
,Creative Drama In Education,3,15,NULL,NULL
,"Educational Administration, Supervision",3,15,NULL,NULL
,Educational Programs And Instruction,3,15,NULL,NULL
,English Language Teaching,3,15,NULL,NULL
,Environmental  Education And Management,3,15,NULL,NULL
,Folklore Education,3,15,NULL,NULL
,Geography Education,3,15,NULL,NULL
,Guidance And Psychological Counselling,3,15,NULL,NULL
,History Education,3,15,NULL,NULL
,Islamic History,3,15,NULL,NULL
,Human Resources Development In Education ,3,15,NULL,NULL
,Mathematic Education,3,15,NULL,NULL
,Measurement And Evaluation In Education,3,15,NULL,NULL
,Music Education,3,15,NULL,NULL
,Ottoman Palaeograohy And Archiving,3,15,NULL,NULL
,Pre-School Education,3,15,NULL,NULL
,Science Teaching,3,15,NULL,NULL
,Special Education,3,15,NULL,NULL
,Turkish Education,3,15,NULL,NULL
,Security Studies,3,15,NULL,NULL
,Art History,3,15,NULL,NULL
,Criminal Chemistry And Toxicology,3,48,NULL,NULL
,Forensic Psychology,3,48,NULL,NULL
,Architecture,3,26,NULL,NULL
,Artificial Science Engineering,3,26,NULL,NULL
,Biomedical Engineering,3,26,NULL,NULL
,Chemistry ,3,26,NULL,NULL
,Civil Engineering,3,26,NULL,NULL
,Computer Engineering ,3,26,NULL,NULL
,Computer Information Systems,3,26,NULL,NULL
,Construction Management,3,26,NULL,NULL
,Electrical And Electronic Engineering,3,26,NULL,NULL
,Food Engineering,3,26,NULL,NULL
,Information Systems Engineering,3,26,NULL,NULL
,Interior Architecture,3,26,NULL,NULL
,Landscape Architecture,3,26,NULL,NULL
,Mathematics,3,26,NULL,NULL
,Mechanical Engineering,3,26,NULL,NULL
,Mechatronics Engineering,3,26,NULL,NULL
,Petroleum And Natural Gas Engineering,3,26,NULL,NULL
,Physics Engineering,3,26,NULL,NULL
,Software Engineering,3,26,NULL,NULL
,Environmental Sciences and Engineering,3,26,NULL,NULL
,Analytical Chemistry,3,49,NULL,NULL
,Biochemistry,3,49,NULL,NULL
,Clinical Pharmacy,3,49,NULL,NULL
,Pharmacognosy,3,49,NULL,NULL
,Pharmacology,3,49,NULL,NULL
,Phytotherapy,3,49,NULL,NULL
,Pharmaceutical Botany,3,49,NULL,NULL
,Toxicology,3,49,NULL,NULL
,Anatomy,3,50,NULL,NULL
,Biostatistics,3,50,NULL,NULL
,Medical Biochemistry,3,50,NULL,NULL
,Histology and Embriology,3,50,NULL,NULL
,Medical Microbiology and Clinical Microbiology,3,50,NULL,NULL
,Medical Biology And Genetics,3,50,NULL,NULL
,Molecular Medicine,3,50,NULL,NULL
,Occupational Health And Safety,3,50,NULL,NULL
,Physiology,3,50,NULL,NULL
,Midwifery,3,51,NULL,NULL
,Nutrition And Dietetics,3,51,NULL,NULL
,Physical Therapy And Rehabilitation,3,51,NULL,NULL
,Child Health And Pediatric Nursing,3,52,NULL,NULL
,Fundamentals Of Nursing And Nursing Administration,3,52,NULL,NULL
,Internal Medicine Nursing,3,52,NULL,NULL
,Mental Health And Psychiatric Nursing,3,52,NULL,NULL
,Nursing,3,52,NULL,NULL
,Obstetric And Gynecology Nursing,3,52,NULL,NULL
,Surgical Nursing,3,52,NULL,NULL
,Animal Nutrition And Nutritional Diseases,3,53,NULL,NULL
,Food Hygiene And Technology,3,53,NULL,NULL
,Obstetric And Gynecology ,3,53,NULL,NULL
,Veternary Internal Medicine,3,53,NULL,NULL
,Veternary Microbiology,3,53,NULL,NULL
,Zootechnique,3,53,NULL,NULL
,Physical Education And Sports,3,55,NULL,NULL
,Arabic Language And Rhetoric,3,54,NULL,NULL
,Arts And Design,3,54,NULL,NULL
,Banking And Finance,3,54,NULL,NULL
,Banking And Accounting,3,54,NULL,NULL
,Business Administration,3,54,NULL,NULL
,Clinical Psychology,3,54,NULL,NULL
,Dramaturgy,3,54,NULL,NULL
,Economics,3,54,NULL,NULL
,English Language And Literature,3,54,NULL,NULL
,European Union Relations,3,54,NULL,NULL
,Fine Arts And Design,3,54,NULL,NULL
,General Psychology,3,54,NULL,NULL
,Human Resources Management,3,54,NULL,NULL
,Innovation Knowledge Management,3,54,NULL,NULL
,International Business,3,54,NULL,NULL
,International Law,3,54,NULL,NULL
,International Relations,3,54,NULL,NULL
,Maritime Law,3,54,NULL,NULL
,Marketing,3,54,NULL,NULL
,Media And Communication Studies,3,54,NULL,NULL
,Private Law,3,54,NULL,NULL
,Public Law,3,54,NULL,NULL
,Security Studies,3,54,NULL,NULL
,Security Studies(AR),3,54,NULL,NULL
,Tourism Management,3,54,NULL,NULL
,Turkish Language And Literature,3,54,NULL,NULL
,Political Sciences,3,54,NULL,NULL
,Banking And Finance,3,56,NULL,NULL
,Business Administration,3,56,NULL,NULL
,Economics,3,56,NULL,NULL
,Inernational Relations,3,56,NULL,NULL
,Marketing Management,3,56,NULL,NULL
,Computer Education and Instructional Technology,4,47,NULL,NULL
,"Educational Administration, Supervision, Planning & Economics",4,47,NULL,NULL
,Educational Program And Instruction,4,47,NULL,NULL
,English Language Education,4,47,NULL,NULL
,Environmental Education And Management,4,47,NULL,NULL
,Folklore Education,4,47,NULL,NULL
,Guidance And Psychological Counselling,4,47,NULL,NULL
,History Education,4,47,NULL,NULL
,Mathematics Education,4,47,NULL,NULL
,Music Education,4,47,NULL,NULL
,Special Education,4,47,NULL,NULL
,Preschool Education,4,47,NULL,NULL
,Architecture,4,26,NULL,NULL
,Biomedical Engineering,4,26,NULL,NULL
,Chemistry,4,26,NULL,NULL
,Civil Engineering,4,26,NULL,NULL
,Computer Engineering,4,26,NULL,NULL
,Computer Information Systems,4,26,NULL,NULL
,Electrical And Electronics Engineering,4,26,NULL,NULL
,Interior Architecture,4,26,NULL,NULL
,Mathematics ,4,26,NULL,NULL
,Mechanical Engineering,4,26,NULL,NULL
,Petroleum And Natural Gas Engineering,4,26,NULL,NULL
,Physics Engineering,4,26,NULL,NULL
,Endodontics,4,64,NULL,NULL
,Oral & Maxillofacial Surgery,4,64,NULL,NULL
,Orthodontics,4,64,NULL,NULL
,Peridontology,4,64,NULL,NULL
,Prosthodontics,4,64,NULL,NULL
,Analytical Chemistry,4,49,NULL,NULL
,Biochemistry,4,49,NULL,NULL
,Clinical Pharmacy,4,49,NULL,NULL
,Pharmacognosy,4,49,NULL,NULL
,Pharmacology,4,49,NULL,NULL
,Phytotherapy,4,49,NULL,NULL
,Pharmaceutical Botany,4,49,NULL,NULL
,Toxicology,4,49,NULL,NULL
,Allergy And Immunology,4,50,NULL,NULL
,Anatomy,4,50,NULL,NULL
,Biostatistics,4,50,NULL,NULL
,Histology & Embriology,4,50,NULL,NULL
,Medical Biochemistry,4,50,NULL,NULL
,Medical Microbiology and Clinical Microbiology,4,50,NULL,NULL
,Medical Biology And Genetics,4,50,NULL,NULL
,Molecular Medicine,4,50,NULL,NULL
,Health Institutions Administration,4,51,NULL,NULL
,Nutrition And Dietetics,4,51,NULL,NULL
,Physiotherapy And Rehabilitation,4,51,NULL,NULL
,Child Health And Pediatric Nursing,4,52,NULL,NULL
,Fundamentals Of Nursing And Nursing Administration,4,52,NULL,NULL
,Internal Medicine Nursing,4,52,NULL,NULL
,Mental Health And Psychiatric Nursing,4,52,NULL,NULL
,Nursing,4,52,NULL,NULL
,Obstetric And Gynecology Nursing,4,52,NULL,NULL
,Gurgical Nursing,4,52,NULL,NULL
,Obstetric And Gynecology,4,53,NULL,NULL
,Zootechnique,4,53,NULL,NULL
,Physical Education & Sports,4,55,NULL,NULL
,Arts And Design,4,54,NULL,NULL
,Banking And Finance,4,54,NULL,NULL
,Business Administration ,4,54,NULL,NULL
,Clinical Psychology,4,54,NULL,NULL
,Economics,4,54,NULL,NULL
,General Psychology,4,54,NULL,NULL
,Innovation and Knowledge Management,4,54,NULL,NULL
,Media And Communication Studies,4,54,NULL,NULL
,Private Law,4,54,NULL,NULL
,Political Sciences And International Relations,4,54,NULL,NULL
,Public Law,4,54,NULL,NULL
,Banking And Finance,4,56,NULL,NULL
,Economics,4,56,NULL,NULL
,International Relations,4,56,NULL,NULL
,Elderly Care,1,10,NULL,NULL
,Cookery,1,57,NULL,NULL
,Civil Aviation Cabin Services,1,30,NULL,NULL
,Civil Air Transportation Management,1,30,NULL,NULL
,Maritime transportation Management,1,58,NULL,NULL
,Maritime Management And Operations,1,58,NULL,NULL
,Ship Machinery,1,58,NULL,NULL
,Applied English Translation,1,59,NULL,NULL
,Maritime Management,2,60,NULL,NULL
,Maritime Transport Management Engineering,2,60,NULL,NULL
,Marine Engineering,2,60,NULL,NULL
,Dentistry ,2,25,NULL,NULL
,Psychological Counselling and Guidance*,2,15,NULL,NULL
,Turkish Language Teaching*,2,15,NULL,NULL
,Social Education teaching*,2,15,NULL,NULL
,English Language Teaching,2,15,NULL,NULL
,Psychology,2,20,NULL,NULL
,Aeronautical Engineering,2,61,NULL,NULL
,Pilotage-professional Pilot training,2,61,NULL,NULL
,Aviation Management,2,61,NULL,NULL
,Law,2,4,NULL,NULL
,International Business Administration,2,21,NULL,NULL
,International Relations,2,21,NULL,NULL
,Banking And Finance,2,21,NULL,NULL
,Logistics Management,2,21,NULL,NULL
,Tourism Management,2,21,NULL,NULL
,Architecture*,2,23,NULL,NULL
,Interior Architecture*,2,23,NULL,NULL
,Mechanical Engineering,2,14,NULL,NULL
,Computer Engineering,2,14,NULL,NULL
,Electrical And Electronic engineerig,2,14,NULL,NULL
,Civil Engineering,2,14,NULL,NULL
,Software Engineering,2,14,NULL,NULL
,Pharmacy,2,18,NULL,NULL
,Physiotherapy and Rehabilitation,2,17,NULL,NULL
,Nursing,2,17,NULL,NULL
,Nutrition And Dietics,2,17,NULL,NULL
,Medicine,2,24,NULL,NULL
,Gastronomy and Cullinary Arts,2,63,NULL,NULL
,Maritime Transportation and Management Engineering,3,26,NULL,NULL
,Big Data Analysis,3,26,NULL,NULL
,Business Administration,3,54,NULL,NULL
,Aviation Management,3,54,NULL,NULL
,Banking And Finance,3,54,NULL,NULL
,International Relations,3,54,NULL,NULL
,Clinical Embrology,3,17,NULL,NULL
,Maritime Transportation and Management Engineering,4,26,NULL,NULL
,Immunology-Allergy,4,17,NULL,NULL
,International Relations,2,38,NULL,NULL
,Political science and Public Administration,2,38,NULL,NULL
,Business Administration,2,38,NULL,NULL
,International Hospitality and tourism ,2,38,NULL,NULL
,Management Information Systems,2,38,NULL,NULL
,Psychology,2,38,NULL,NULL
,International Law,2,4,NULL,NULL
,Plastic Arts,2,5,NULL,NULL
,Architecture,2,14,NULL,NULL
,Software Engineering,2,14,NULL,NULL
,Civil engineering,2,14,NULL,NULL
,Nursing,2,17,NULL,NULL
,Politcal Science and International Relations,3,28,NULL,NULL
,Business Administration ,3,28,NULL,NULL
,International Hospitality And Tourism Management ,3,28,NULL,NULL
,International Relations,4,28,NULL,NULL
,Public Administration,4,28,NULL,NULL
